Date,Open,High,Low,Close,Volume,WILLR,RSI14,CCI12,macd,macdsignal,macdhist,MFI,ADX14,MOM1,ROCR12,ATR,OBV,TRIX,CCI20,ADX20,MOM3,ROCR3,RSI6,upperband,middleband,lowerband,EMA6,EMA12,TSF10,TSF20,SMA3,SMA
2005-01-03,45.0,45.44,44.21,44.52,10477391.0,,,,,,,,,,,,10477391.0,,,,,,,,,,,,,,,
2005-01-04,42.62,43.26,41.5,42.14,19507792.0,,,,,,,,,-2.3800000000000026,,,-9030401.0,,,,,,,,,,,,,,,
2005-01-05,41.57,42.76,41.56,41.77,8354707.0,,,,,,,,,-0.36999999999999744,,,-17385108.0,,,,,,,,,,,,,,42.81,
2005-01-06,41.85,42.25,40.9,41.05,8703006.0,,,,,,,,,-0.720000000000006,,,-26088114.0,,,,-3.470000000000006,0.9220575022461813,,,,,,,,,41.65333333333333,
2005-01-07,41.3,42.69,41.16,42.32,9861972.0,,,,,,,,,1.2700000000000031,,,-16226142.0,,,,0.17999999999999972,1.0042714760322733,,44.68891390995897,42.36,40.03108609004103,,,,,41.71333333333333,42.36
2005-01-10,41.86,42.96,41.71,41.84,7383549.0,,,,,,,,,-0.4799999999999969,,,-23609691.0,,,,0.07000000000000028,1.0016758439071103,,42.69491675836516,41.824,40.953083241634836,42.27333333333333,42.27333333333333,,,41.73666666666666,41.824
2005-01-11,41.4,42.16,41.01,41.64,7939089.0,,,,,,,,,-0.20000000000000284,,,-31548780.0,,,,0.5900000000000034,1.0143727161997564,23.431734317343192,42.53990195489411,41.724000000000004,40.908098045105895,42.09238095238095,42.09238095238095,,,41.93333333333333,41.724000000000004
2005-01-12,41.6,42.48,40.82,42.3,8086250.0,,,,,,,,,0.6599999999999966,,,-23462530.0,,,,-0.020000000000003126,0.9995274102079394,33.19381841596905,42.77046796862069,41.83,40.889532031379304,42.15170068027211,42.15170068027211,,,41.92666666666666,41.83
2005-01-13,42.4,44.58,42.34,42.6,17399232.0,,,,,,,,,0.30000000000000426,,,-6063298.0,,,,0.759999999999998,1.0181644359464628,37.53762793497894,42.83834089097152,42.13999999999999,41.441659109028464,42.279786200194366,42.279786200194366,,,42.18,42.13999999999999
2005-01-14,42.77,44.66,42.36,44.55,12536050.0,,,,,,,,,1.9499999999999957,,,6472752.0,,,,2.9099999999999966,1.0698847262247837,58.556363345849604,44.6626742642995,42.58599999999999,40.509325735700486,42.928418714424545,42.928418714424545,42.72066666666671,,43.15,42.58599999999999
2005-01-18,44.15,45.0,44.15,44.58,7185843.0,,,,,,,,,0.030000000000001137,,,13658595.0,,,,2.280000000000001,1.0539007092198582,58.812236199816404,45.55205210862018,43.13399999999999,40.715947891379805,43.400299081731816,43.400299081731816,44.109333333333325,,43.91,43.13399999999999
2005-01-19,44.37,44.74,43.43,43.96,7419715.0,,,78.0074191838892,,,,,,-0.6199999999999974,,,6238880.0,,,,1.3599999999999994,1.0319248826291079,51.00291891433353,45.533454468593675,43.598,41.66254553140632,43.56021362980844,43.56021362980844,44.611333333333356,,44.36333333333334,43.598
2005-01-20,41.7,42.68,41.64,42.36,12830617.0,,,-29.29271410311069,,,,,,-1.6000000000000014,0.9514824797843665,,-6591737.0,,,,-2.1899999999999977,0.9508417508417509,36.141480317124376,45.513596595920625,43.61,41.706403404079374,43.21729544986317,43.21729544986317,44.25333333333331,,43.63333333333333,43.61
2005-01-21,41.83,42.55,41.02,41.16,10603043.0,-92.6406926406927,,-71.22785583384301,,,,,,-1.2000000000000028,0.9767441860465116,,-17194780.0,,,,-3.4200000000000017,0.9232839838492597,28.632683100335033,46.019744242881245,43.322,40.62425575711876,42.629496749902266,42.629496749902266,43.18399999999997,,42.49333333333333,43.322
2005-01-24,41.3,41.95,40.31,40.38,9697596.0,-98.50746268656717,33.51910828025478,-107.70547945205476,,,,42.9153437188376,,-0.779999999999994,0.966722528130237,1.6785714285714282,-26892376.0,,,,-3.5799999999999983,0.9185623293903549,24.639723851346275,45.68385731846733,42.488,39.29214268153267,41.98678339278733,41.98678339278733,42.13400000000002,,41.300000000000004,42.488
2005-01-25,40.61,41.44,40.45,40.94,9028083.0,-86.56716417910457,36.56498363721363,-98.2013721490821,,,,52.653685270857686,,0.5599999999999952,0.9973203410475031,1.63438775510204,-17864293.0,,,,-1.4200000000000017,0.9664778092540132,32.722779060887554,44.31136042142188,41.760000000000005,39.20863957857813,41.68770242341952,41.68770242341952,41.30933333333332,,40.82666666666667,41.760000000000005
